id,de,fr,it,en
App-About,Informationen,Informations,Informazioni,Information
App-Lang,Sprache,Langue,Lingua,Language
App-Share,Teilen,Partager,Condividere,Share
App-Warning,"Sie verwenden einen veralteten Browser. Um die website in vollem Umfang nutzen zu können, empfehlen wir Ihnen, einen neueren Browser zu installieren.","Vous utilisez un navigateur trop ancien. Pour utiliser toute les possibilités de ce site web, nous vous conseillons d'installer un navigateur plus récent.","Si sta utilizzando un browser non completamente supportato. Per sfruttare appieno le funzionalità di questo sito web, consigliamo di installare un browser più recente",You are using an outdated browser. Please upgrade your browser to improve your experience.
Finish-Email,E-mail,e-mail,e-mail,E-mail
Finish-Like,Like,Like,Mi piace,Like
Finish-Restart,Neustart,Nouvelle partie,Nuova partita,New Game
Finish-Text,Teilen Sie Ihr Endergebnis von __score__,Partagez votre résultat de __score__,Condivida il suo risultato finale di __score__,Share your score of __score__
Finish-Tweet,Tweet,Tweet,Tweet,Tweet
Game-Close,Beenden,Fermer,Chiudere,Close
Game-Confirm,Bestätige Schätzung,Confirme ton estimation,Confermare,Confirm guess
Game-Guess,Rate,Devine,Stimare la posizione,Make a guess
Game-Start,Start,Start,Start,Start
Head-BAR,Bundesamt für Bevölkerungsschutz,Office fédéral de la protection de la population,Ufficio federale della protezione della popolazione ,Federal Office for Civil Protection FOCP
Head-CH,Bundesverwaltung admin.ch,Administration fédérale admin.ch,Amministrazione federale admin.ch,Federal Administration admin.ch
Head-EDI,"Eidg. Departement für Verteidigung, Bevölkerungsschutz und Sport","Département fédéral de la défense, de la protection de la population et des sports","Dipartimento federale della difesa, della protezione della popolazione e dello sport","Federal Department of Defence, Civil Protection and Sport"
Link-EDI,http://www.vbs.admin.ch/internet/vbs/de/home.html,http://www.vbs.admin.ch/internet/vbs/fr/home.html,http://www.vbs.admin.ch/internet/vbs/it/home.html,http://www.vbs.admin.ch/internet/vbs/en/home.html
Link-BAR,http://www.bevoelkerungsschutz.admin.ch/internet/bs/de/home.html,http://www.bevoelkerungsschutz.admin.ch/internet/bs/fr/home.html,http://www.bevoelkerungsschutz.admin.ch/internet/bs/it/home.html,http://www.bevoelkerungsschutz.admin.ch/internet/bs/en/home.html
Photo-Copyright,"© BABS, KGS","© OFPP, PBC","© UFPP, PBC","© FOCP, PCP"
Photo-Counter,Foto,Photo,Foto,Photo
Photo-Restart,Neustart,Nouvelle partie,Nuova partita,Restart game
Photo-Text,Wo wurde das Foto aufgenommen? Klick in die Karte.,Où a été prise la photographie? Clique sur la carte.,Dove è stata scattata la foto? Cliccare sulla mappa.,Where do you think has the photo been taken? Click anywhere on the map.
Result-1,Mehr Glück beim nächsten Mal....,Plus de chance la prochaine fois...,Sarà più fortunato la prossima volta ...,Better luck next time...
Result-2,Gut gemacht.,Bien joué.,Perfetto.,Well done.
Result-3,Exzellent!,Excellent!,Eccellente !,Excellent!
Result-Continue,Weiter,Continue,Continuare,Continue
Result-From,von der korrekten Position und erhalte,de la position correcte et obtiens,dalla posizione esatta. Ottiene,from the correct location and got
Result-Points,Punkte.,points.,punti.,points.
Result-Score,Letztes Ergebnis,Dernier résultat,Risultato finale,Last round score:
Result-Total,Total,Total,Totale,Total
Share-Message,Ich habe __score__ Punkte auf SwissGuesser gemacht! Schaffst du mehr?,J'ai réalisé un total de __score__ points sur SwissGuesser! Es-tu capable de faire mieux?,Ho ottenuto un risultato di __score__ points su SwissGuesser! Riesci a superarmi?,I just scored __score__ playing SwissGuesser! Can you top it?
Start-Copyright,Copyright und Datenschutzerklärung,Conditions d'utilisation,Copyright e protezione dei diritti d'autore,Copyright and Data protection
Start-Credit,Umgesetzt mit,Réalisé avec,Realizzato con,Realized with
Start-Loading,"Bitte warten, laden ...",Veuillez patienter pendant le chargement...,Attendere il caricamento ...,"Please wait, loading ..."
Start-Text,"Das 2009 vom Bundesrat in 3. Fassung verabschiedete KGS Inventar enthält rund 3200 Objekte von nationaler Bedeutung. Der <a href=""http://www.kgs.admin.ch/"">Fachbereich KGS</a> im <a href=""http://www.babs.admin.ch/"">Bundesamt für Bevölkerungsschutz</a> (BABS) ist zusammen mit den Kantonen für die Nachführung verantwortlich. Lernen Sie die Kulturgüter der Schweiz kennen, und versuchen Sie, die Objekte in der Karte zu lokalisieren. ","La troisième version de l'inventaire PBC, adoptée par le Conseil Fédéral en 2009, contient approximativement 3200 objets d'importance nationale. La <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/fr/home/themen/kgs.html"">Section PBC</a> de <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/fr/home/das_babs.html"">Office fédéral de la protection de la population (OFPP) </a>  et les cantons sont responsables pour la mise à jour de l'inventaire. Découvrez les biens culturels de la Suisse et essayez de localiser les objets sur la carte.","La terza versione dell'Inventario PBC, redatta nel 2009 ed approvata dal Consiglio federale lo stesso anno, contiene circa 3200 oggetti d'importanza nazionale. <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/it/home/themen/kgs.html"">La Sezione PBC</a>  nell <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/it/home/das_babs.html"">‘Ufficio federale della protezione della popolazione (UFPP) </a>  ed i Cantoni sono responsabili dell'aggiornamento dell'inventario. Si informi sul patrominio culturale della Svizzera e cerchi di localizzare gli oggetti sulla mappa.","The third version of PCP inventory was approved by the federal counsil in 2009 and contains 3200 objects of national importance. The <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/en/home/themen/kgs.html"">PCP Section</a> in <a href=""http://www.bevoelkerungsschutz.admin.ch/internet/bs/en/home/das_babs.html"">the Federal Office for Civil Protection (FOCP) </a> together with the cantons are responsible for  the update. Discover the objects of cultural value and try to localize them on the map. "
Start-Title,SwissGuesser: Kulturgüterschutzinventar ,SwissGuesser: Inventaire des biens culturels ,SwissGuesser: Inventario dei beni culturali ,SwissGuesser Inventory of Cultural Assets
Toggle-Map,Karte,Carte,Mappa,Map
Toggle-Photo,Foto,Photo,Foto,Photo
